title,authors,publisher,publishedDate,ISBN-10,ISBN-13,pageCount,height,width,thickness,genre,retailPrice,cover
Letters to a Birmingham Jail,Bryan C. Loritts,Moody Publishers,2014,802411967,9780802411969 ,233,22.00 cm,14.00 cm,1.50 cm,drama,7.99,
"And a Bottle of Rum, Revised and Updated",Wayne Curtis,Crown,6/5/2018,525575022,9780525575023 ,320,20.20 cm,13.20 cm,1.70 cm,how-to,12.99,https://books.google.com/books/publisher/content?id=JyJaDwAAQBAJ&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE72H5pFVm3J1MUNYiYswl-GVNaSPa4LxVdqWG5zzjEagKKOjBJwuk2Kf87P9wfgvUlUi8zox8hHJ71NDX7CZLL21JCslNqcNFZo8FZEdNAf6AK73Moz8Ga9UV7YN67o-J_aUUXyg&source=gbs_api
Son of the Morning,Linda Howard,Simon and Schuster,11/24/2009,1439187924,9781439187920 ,384,,,,romance,7.99,https://books.google.com/books/content?id=iVd3IDKG0zcC&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE72Cr2Ur7eG2rzrBl5q7u1CY1-rhBQMje7McxNWKuMUxoWYXUhvK8UfwpF3dqfNMTpT3o3ov3A9lV3IHjSa1EpSfUKCFptp7HkfRj5imEMFsWFPGmSQD6udhVueEFzi1Yw25w-IR&source=gbs_api
The Rotation of Sun and Stars,Jean-Pierre Rozelot,Springer Science & Business Media,1/8/2009,3540878300,9783540878308 ,264,24.00 cm,15.50 cm,1.50 cm,comedy,12.99,https://books.google.com/books/content?id=4dntrK4vrtEC&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE73j-NvlZRDSTblmW7-8HGSkMEuqMgHn5pm4Xw_g-5leTsh1ovrYFA80U6WmLARCEV1FvSN2tzWxTVrqPMzg8Tod-SSOquyUcnRRwSP5FY71vGkWaUL_0UehwllwabK0121mOwgR&source=gbs_api
The Product Book,"Josh Anon, Carlos González de Villaumbrosia",Product School,2017,998973815,9780998973814 ,320,23.00 cm,15.20 cm,2.10 cm,how-to,7.99,
Clean Sweep,Ilona Andrews,CreateSpace Independent Publishing Platform,2013,1494388588,9781494388584 ,234,22.00 cm,14.00 cm,1.20 cm,drama,10.99,
Galateo,Giovanni Della Casa,University of Chicago Press,10/8/2014,022621219X,9780226212197 ,103,18.00 cm,14.00 cm,0.80 cm,horror,10.99,https://books.google.com/books/publisher/content?id=WL0lEAAAQBAJ&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE71UGbLYazcaD59GUdVONgEjKlX0Td6xVqhAVPuUjMED24PtSCgydV_sR0GaQqoQVf33CiecE1pRh-Mw5FtdnIIl28UHGBcUsxvt6HBAs_Hp9OkxO-nv5C9vhg5UhqbCTKxxj7cM&source=gbs_api
Think Happy,Karen Salmansohn,Clarkson Potter/Ten Speed,8/9/2016,1607749629,9781607749622 ,128,18.40 cm,16.00 cm,1.50 cm,action,12.99,https://books.google.com/books/publisher/content?id=ZFqmDAAAQBAJ&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE70rKEyfDgbWCiqfJRnV6jrEtKgJ9cmQG4-rfwnjHlc-BhBmPKesQEfHDAYnDUWkPBv8jt5RcooExQBfl0Z1yl47nojjQcgaxlWdswt-TbQ4CgXGMsP0pla6CSc5gfIZWbsEfxfN&source=gbs_api
Arrow,Sumita Chakraborty,Alice James Books,9/1/2020,1948579677,9781948579674 ,79,,,,horror,5.99,https://books.google.com/books/publisher/content?id=7jYyEAAAQBAJ&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE71bWtQsyFSs_020YvUjnbTtJLtSHTYE90mySGREZeu6IwPHOwoPmQO0e0K9T5vvIkwfcfspUEZbWaAnivhCKIcnKhx3BaQRSr-m-rqPix4Xm48hsiiHx2Mx0fTajLlWHMoSVS1i&source=gbs_api
Leading at a Higher Level,Kenneth H. Blanchard,FT Press,2010,137011709,9780137011704 ,362,24.00 cm,16.00 cm,2.50 cm,fantasy,12.99,https://books.google.com/books/publisher/content?id=djgFCAAAQBAJ&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE72_ahvWwObIiTcSNb6elHFYbdfUeuJCTZaiC_O7Rz2TP_sN9U-gghYgvRaEKHjF4uBiSpFux5rt4ohPOqN43q4kGsXIcQpcBRZpRvpZWEe30LPNQi0w3-ZrsIzrv3eJ4_eCSnze&source=gbs_api
A Noble Radiance,Donna Leon,Arrow,2009,99536668,9780099536666 ,288,19.80 cm,12.90 cm,1.70 cm,drama,15.99,
The Salem Witch Trials,Michael J. Martin,Capstone,2005,736852468,9780736852463 ,32,22.90 cm,17.80 cm,0.30 cm,how-to,5.99,https://books.google.com/books/content?id=sgxZTAll2y8C&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE70BEdfTKETvZhdpq7eB_g1FFYVLWXqAz1JkycZRnd_Q1dit9MXoCYdMPi-SqADMirxabfNwhbkTu50Y53sZu7W-cWM39N6xwL6felPOlNtoAnJomtmRnKZdDp3ShSL45DdSjMVV&source=gbs_api
The Inferno,Dante Alighieri,Penguin,6/1/2001,1101078030,9781101078037 ,320,18.00 cm,,,how-to,5.99,https://books.google.com/books/content?id=doqPjauXF1QC&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE71MGONhJdDw0jnIdnCNlAu1kAnWq2npYCzVxrtnfG8SpBk_-G29ro1KWmLIjQQQ9Z3UeEXWtH3JkBkg1M-ImGSVNZfkFKiHVdxN9LQaKWoKsk98fgaTQMDDkoBjBZ0IdlqUZYMV&source=gbs_api
The Temptation to Exist,E. M. Cioran,University of Chicago Press,7/20/1998,226106756,9780226106755 ,224,20.00 cm,13.30 cm,2.00 cm,comedy,12.99,https://books.google.com/books/content?id=VHtvC5CMbMIC&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE70fhT85QJ5fzIxT4EJE7XM0bmBEjSMYzcuU9WkeFH6D4TtLuWyuMEBQ_2hpUDoAXr_bEpJANlHJi26kNsLMub7I3JCYAsXzZ7ZnJkijV9xejfQ7vPyCT1hyuOgav8oodpOzXL7Y&source=gbs_api
Twelfth Angel,Og Mandino,Random House Publishing Group,8/27/1996,449911500,9780449911501 ,176,20.90 cm,13.90 cm,1.30 cm,drama,7.99,https://books.google.com/books/content?id=JIV70pMfZnkC&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE70d1bujoOEpGFcx-5dtGFhwv5t7EmXRNpkZy01Q2aFtQD_0LJlZbrDOg03efEOgZDzhTcMcwwectkYtv4ZT84TWpcxRLmlsFnmd02UzH7iGEwT9KjEvVBQHTlgFx-bWjmWKn7as&source=gbs_api
Transparent,Natalie Whipple,Harper Collins,5/21/2013,62120174,9780062120175 ,368,,,,horror,15.99,https://books.google.com/books/content?id=t7l46O-F6gUC&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE728iadeArUvIvGzzAKlL5xv9U2gzNUUBTroYWt58Bj_q9z3LKCDjfR1I0ZV8mA2sbWg5intgpK3UoNDQIu7Imnjs16SAkMujxfdM-buj-nvkHvsv5TZ-qIMdxBVx2UAYHbM17fK&source=gbs_api
"Private Equity Operational Due Diligence, + Website",Jason A. Scharfman,John Wiley & Sons,4/10/2012,111811390X,9781118113905 ,400,24.00 cm,15.50 cm,3.60 cm,action,10.99,https://books.google.com/books/content?id=nG0Ue0cLKkQC&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE72evaFdbdbo5Myy-G6mnzwHFJ1DW_5bO1ZcRaHR-Rp9x5Qzh6EcbfCRl0RuiZfG-gjb2KOXNaMumfQUDymSHk4aQLso7V4ZkehBrqHDVRINzetbTblxFbAmk6pa6obs4mZ01nfe&source=gbs_api
"Leave a Cheater, Gain a Life",Tracy Schorn,Running Press,5/10/2016,762458968,9780762458967 ,240,20.20 cm,14.00 cm,1.80 cm,fantasy,10.99,https://books.google.com/books/publisher/content?id=2CfRDQAAQBAJ&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE72wixEbd3H_X5Z2zPkBD7JwVXMA6CRfgzrbzLfXnQn7YpGvLB3X_Tf_r7CxrnSsb3JcBcnOtqgWjwSMMceU5vn1KqqofaOdC9CfZcHtd1Q8FtWA9I_HWXVanlFw79yNMC3MQoEH&source=gbs_api
A Remainder of One,Elinor J Pinczes,Houghton Mifflin Harcourt,8/26/2002,547349963,9780547349961 ,32,,,,fantasy,15.99,https://books.google.com/books/content?id=9onchuJ-bFkC&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE719DrwGo_cNw5D_iSYQNvyf0u1v2kRYIuQagXgxoaYIRg6LpKOsGvMhxn8uGzt3Jgzy8OYS04Wt8QTyPGsbP5gY_HzRu9PeACIE1rG_oG8_qsvvX52bQ2L7tur8WtKP2iKgTAeA&source=gbs_api
Gutter,K'wan,St. Martin's Press,9/2/2008,312360096,9780312360092 ,406,21.00 cm,14.40 cm,3.00 cm,fantasy,5.99,
